,id,name,gender,nationality,permalink,thumbnail,similar_names,similar_links,thumbnails
21,50c84c1e623327ed6c000c24,Nell Blaine,female,American,https://www.artsy.net/artist/nell-blaine,https://d32dm0rphc51dk.cloudfront.net/jr4zSDi7sXllVBNVhQardw/four_thirds.jpg,"['Ben Norris', 'Mary Polon', 'Robert Blair', 'Lois Mailou Jones', 'Lynne Drexler']","['https://www.artsy.net/artist/ben-norris', 'https://www.artsy.net/artist/mary-polon', 'https://www.artsy.net/artist/robert-blair', 'https://www.artsy.net/artist/lois-mailou-jones', 'https://www.artsy.net/artist/lynne-drexler']","['https://d32dm0rphc51dk.cloudfront.net/CjuC-Mtmdw9LYuvoeXYQbQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/iJ6FEO-YGyjVNz1WxuCaUQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/C7yfMzkMhR-HZaYXSOP0Nw/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/kaIva5GY-Avuts057Hhd5w/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/GVUMDeWpmkexKljLaZ9K1Q/four_thirds.jpg']"
22,50d0bcf3ab7e6f725c0002d4,Barbara Bloom,female,American,https://www.artsy.net/artist/barbara-bloom,https://d32dm0rphc51dk.cloudfront.net/arQh4fj71FQ5G67E8vqkuw/four_thirds.jpg,"['Fred Wilson', 'Cary Leibowitz (""Candy Ass"")', 'Tony Feher', 'Rene Ricard', 'Ted Victoria']","['https://www.artsy.net/artist/fred-wilson', 'https://www.artsy.net/artist/cary-leibowitz-candy-ass', 'https://www.artsy.net/artist/tony-feher', 'https://www.artsy.net/artist/rene-ricard', 'https://www.artsy.net/artist/ted-victoria']","['https://d32dm0rphc51dk.cloudfront.net/vvXXJDJwadNZ3D2j3Tr-jw/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/8XGEG5n40CfLk0MIcnCMTg/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/oncpFUf_49J4U0Y_MSGrLg/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/rDrknoudGTd-LrqkWz-mHw/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/w0A-dlzbSv-A89unu4BPQw/four_thirds.jpg']"
23,506b333144661700020004f2,Blythe Bohnen,female,,https://www.artsy.net/artist/blythe-bohnen,https://d32dm0rphc51dk.cloudfront.net/Hzo1IaK0CdkWid-6x1mS1A/four_thirds.jpg,"['John Brill', 'Josephine Sacabo', 'Tatiana Parcero', 'Linda K Alpern', 'Peggy Jarrell Kaplan']","['https://www.artsy.net/artist/john-brill', 'https://www.artsy.net/artist/josephine-sacabo', 'https://www.artsy.net/artist/tatiana-parcero', 'https://www.artsy.net/artist/linda-k-alpern', 'https://www.artsy.net/artist/peggy-jarrell-kaplan']","['https://d32dm0rphc51dk.cloudfront.net/s-zfU4QpYa35zi43pkVPWA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/Dj9yY6EzWZAeDpSm6_OwDA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/KhpIO13_IYpxJ_FNth3zqQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/8_YxWNqWch4ch4DsTOCPxQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/iztme15NHJXw2FbAvPnFaQ/four_thirds.jpg']"
24,4e8f63db069bb90001003fb5,Lee Bontecou,female,American,https://www.artsy.net/artist/lee-bontecou,https://d32dm0rphc51dk.cloudfront.net/8p-o6khTBozJtg8rsVFdKQ/four_thirds.jpg,"['George Rickey', 'Richard Tuttle', 'Ree Morton', 'Gloria Kisch', 'Tony Rosenthal']","['https://www.artsy.net/artist/george-rickey', 'https://www.artsy.net/artist/richard-tuttle', 'https://www.artsy.net/artist/ree-morton', 'https://www.artsy.net/artist/gloria-kisch', 'https://www.artsy.net/artist/tony-rosenthal']","['https://d32dm0rphc51dk.cloudfront.net/Xf_9D0hHiq2mTeDuVc7WAA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/-H_kA8K1s_7O4CNRM1MT8Q/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/SjGPfPtCxyYZUob1YeEr-A/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/PdZiWi_fusosLrNUIukxgA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/0zUHzPRhX2dLyLWXbQl8PQ/four_thirds.jpg']"
25,4dd196c617a37c000100056a,Louise Bourgeois,female,French-American,https://www.artsy.net/artist/louise-bourgeois,https://d32dm0rphc51dk.cloudfront.net/GF3e1uPUF4q9WqkAVH4x4A/four_thirds.jpg,"['Jacques Herold', 'Shirley Clarke', 'Miyoko Ito', 'Nell Blaine', 'Dorothy Dehner']","['https://www.artsy.net/artist/jacques-herold', 'https://www.artsy.net/artist/shirley-clarke', 'https://www.artsy.net/artist/miyoko-ito', 'https://www.artsy.net/artist/nell-blaine', 'https://www.artsy.net/artist/dorothy-dehner']","['https://d32dm0rphc51dk.cloudfront.net/ICChjeXp_q7PoZnxgiFwKg/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/A30iIu5vvT8r-rGTSOEoOg/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/C34WvLYIAQqtJlsaYKn1eA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/jr4zSDi7sXllVBNVhQardw/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/Ke-Q9gFfBm2SJVbnLLUSFw/four_thirds.jpg']"
26,4f5f64c13b555230ac0000be,Margaret Bourke-White,female,American,https://www.artsy.net/artist/margaret-bourke-white,https://d32dm0rphc51dk.cloudfront.net/qJJ7eG__gb57E31BF8GLNA/four_thirds.jpg,"['Wayne Miller', 'Leonard Freed', 'Martha Holmes', 'George Barris', 'John Loengard']","['https://www.artsy.net/artist/wayne-miller', 'https://www.artsy.net/artist/leonard-freed', 'https://www.artsy.net/artist/martha-holmes', 'https://www.artsy.net/artist/george-barris', 'https://www.artsy.net/artist/john-loengard']","['https://d32dm0rphc51dk.cloudfront.net/rvpgADmmh-OI17Nd3yX7MA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/Rk5jN8jCRBYftZ6X0VbQmw/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/0To_chBB5uW8w42hHOxMIA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/4sN-9dqFOhs7Fpdx7JegLQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/amm8jbxOK_2-qr8ZUj2NsQ/four_thirds.jpg']"
27,4fd640695ee95000010002af,Marilyn Bridges,female,American,https://www.artsy.net/artist/marilyn-bridges,https://d32dm0rphc51dk.cloudfront.net/AtJgXhc99K0W66jQfRG7aA/four_thirds.jpg,"['Rena Bass Forman', 'Stu Levy', 'Donald Woodman', 'Peter de Lory', 'Steven Albahari']","['https://www.artsy.net/artist/rena-bass-forman', 'https://www.artsy.net/artist/stu-levy', 'https://www.artsy.net/artist/donald-woodman', 'https://www.artsy.net/artist/peter-de-lory', 'https://www.artsy.net/artist/steven-albahari']","['https://d32dm0rphc51dk.cloudfront.net/dd9xwW92lISjpgpe053J_g/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/so5_eiofe1bhxGpJcrQ6aQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/QS_NRlVWdBmfUJ8PlEJMdQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/RVwzZns0lVcV8Apf2Njvkg/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/yfY8PGW8fihwT16YyQe62w/four_thirds.jpg']"
28,50082375f937d70002000fed,Joan Brown,female,American,https://www.artsy.net/artist/joan-brown,https://d32dm0rphc51dk.cloudfront.net/Fn3RcfUSB4_Hnv7lmpqVKg/four_thirds.jpg,"['Carolyn Plochmann', 'Dorothy Cantor', 'Roy De Forest', 'Jim Davis', 'Les Biller']","['https://www.artsy.net/artist/carolyn-plochmann', 'https://www.artsy.net/artist/dorothy-cantor', 'https://www.artsy.net/artist/roy-de-forest', 'https://www.artsy.net/artist/jim-davis', 'https://www.artsy.net/artist/les-biller']","['https://d32dm0rphc51dk.cloudfront.net/dXbGUcfx4XsVm0wN3BspCw/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/Rr1pW4jROuv_vKSeeHETHA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/pcdDINtoGfhNsU6mpJJz1Q/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/DcmqgBWrRHMdqD3RFUbrxA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/B32Seu6fvdarJrplA45k5g/four_thirds.jpg']"
29,56aa6eed9c18db667b000315,Marsha Burns,female,American,https://www.artsy.net/artist/marsha-burns,https://d32dm0rphc51dk.cloudfront.net/vMFdMtvBbD4SHr7D3tHzCQ/square.jpg,"['Jeffrey Hoone', 'Vincent Cianni', 'Talia Chetrit', 'Cynthia MacAdams', 'Hilton Braithwaite']","['https://www.artsy.net/artist/jeffrey-hoone', 'https://www.artsy.net/artist/vincent-cianni', 'https://www.artsy.net/artist/talia-chetrit', 'https://www.artsy.net/artist/cynthia-macadams', 'https://www.artsy.net/artist/hilton-braithwaite']","['https://d32dm0rphc51dk.cloudfront.net/7K2QIwG2uGnzklrF_UUQ_g/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/HmtxXBBOXtPbMk1EwoQuOA/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/4pWKrD3SlMZA3NJJcEAPug/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/fdLUk7jBbAT5nRjtW2y-Aw/square.jpg', 'https://d32dm0rphc51dk.cloudfront.net/gWLwjoG5YHbTQ9z6XoeLSA/four_thirds.jpg']"
30,4d8b92b74eb68a1b2c00041e,Mary Cassatt,female,American ,https://www.artsy.net/artist/mary-cassatt,https://d32dm0rphc51dk.cloudfront.net/ST7tBD1QPZEYaGW8-xJrvw/four_thirds.jpg,"['Berthe Morisot', 'Edward Henry Potthast', 'Childe Hassam', 'Edward Lamson Henry', 'Dennis Miller Bunker']","['https://www.artsy.net/artist/berthe-morisot', 'https://www.artsy.net/artist/edward-henry-potthast', 'https://www.artsy.net/artist/childe-hassam', 'https://www.artsy.net/artist/edward-lamson-henry', 'https://www.artsy.net/artist/dennis-miller-bunker']","['https://d32dm0rphc51dk.cloudfront.net/hITYV_ikLHt7Lnvxplkklw/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/xt9NhAZnJRIML8ayO0Y_gQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/c51YGpOMfurO80T_sLWtZQ/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/RL5Z-kvqYae6TF0jK641Og/four_thirds.jpg', 'https://d32dm0rphc51dk.cloudfront.net/0dct9_7w-PfpetfM_3iIpg/four_thirds.jpg']"
